,job_description,link,company,salary,Employment type,search_term,location,salary_lower_range,salary_higher_range,salary_middle_range,job_title,state,is_remote
2463,AWS Data Architect,https://www.indeed.com/company/Blue-Ocean-Ventures/jobs/Software-Architect-011d02433c971b4b?fccid=2b88b385e411aed0&vjs=3,Blue Ocean Ventures,From $90 an hour,Contract,Data-Architect,"Santa Monica, CA 90401 ",187200.0,187200.0,187200.0,Data Architect,CA,N
2465,Data Analyst,https://www.indeed.com/rc/clk?jk=68105d73a56dc9c0&fccid=7d7b563c6a3a9653&vjs=3,NYC Careers,"$62,470 - $71,840 a year",Full-time,Data-Architect,"New York, NY 11201 ",62470.0,71840.0,67155.0,Data Analyst,NY,N
2466,SQL ARCHITECT,https://www.indeed.com/rc/clk?jk=ab04a4ff44580fd7&fccid=7d7b563c6a3a9653&vjs=3,NYC Careers,"$120,000 - $132,000 a year",Full-time,Data-Architect,"Manhattan, NY 10001 ",120000.0,132000.0,126000.0,Data Architect,NY,N
2467,Partner Solutions Architect - Data and Analytics,https://www.indeed.com/rc/clk?jk=cc6e261d69b699e1&fccid=5cc0cdc6dbb121cc&vjs=3,"Amazon Web Services, Inc.","From $105,100 a year",Full-time,Data-Architect,"New York, NY",105100.0,105100.0,105100.0,Data Architect,NY,N
2470,Senior Data Analyst - 100% Remote,https://www.indeed.com/rc/clk?jk=c7a0e6363da0a7d3&fccid=49bacaf9ea5daa22&vjs=3,Radian,"$86,000 - $142,000 a year",Full-time,Data-Architect,"Remote in Wayne, PA 19087",86000.0,142000.0,114000.0,Data Analyst,PA,N
2471,AWS Data Architect,https://www.indeed.com/company/Apolis/jobs/Software-Architect-bda5eca5fed10296?fccid=f2d754c1007a70ff&vjs=3,Apolis,$65 - $68 an hour,Contract,Data-Architect,Remote,135200.0,141440.0,138320.0,Data Architect,Remote,Y
2567,Intel Fellow - Data Center Platform Architect,https://www.indeed.com/rc/clk?jk=85f26addfe8677aa&fccid=936367796261bd6e&vjs=3,INTEL,"$222,480 - $400,720 a year",Full-time,Data-Architect,"Phoenix, AZ",222480.0,400720.0,311600.0,Data Architect,AZ,N
2570,Data Architect,https://www.indeed.com/rc/clk?jk=f09ac37bcbab1012&fccid=c702a12febde76f3&vjs=3,Barrow Wise Consulting,"$70,000 - $130,000 a year",Full-time,Data-Architect,"New York, NY 10004 ",70000.0,130000.0,100000.0,Data Architect,NY,N
2571,Cyber Data Analytics Program Manager,https://www.indeed.com/rc/clk?jk=d68215045c954d63&fccid=7d7b563c6a3a9653&vjs=3,NYC Careers,"$78,795 - $99,750 a year",Full-time,Data-Architect,"Brooklyn, NY 11201",78795.0,99750.0,89272.5,Data Analyst,NY,N
2572,Senior Principal Big Data Architect,https://www.indeed.com/rc/clk?jk=6dc4d01bb608691a&fccid=913e1b259c8d65e2&vjs=3,Zillow,"$220,200 - $351,800 a year",Full-time,Data-Architect,Remote,220200.0,351800.0,286000.0,Data Architect,Remote,Y
