,job_description,link,company,salary,Employment type,search_term,location,salary_lower_range,salary_higher_range,salary_middle_range,job_title,state,is_remote
36,Marketing Analytics Data Scientist - Senior Associate,https://www.indeed.com/rc/clk?jk=24d87bd5c6f07125&fccid=c46d0116f6e69eae&vjs=3,JPMorgan Chase & Co,"$114,000 - $170,000 a year",Full-time,Data-Scientist,"Brooklyn, NY 11245 ",114000.0,170000.0,142000.0,Data Scientist,NY,N
37,Entry Level - Associate Data Scientist - Commercial,https://www.indeed.com/rc/clk?jk=10a0d9d6df49cc76&fccid=de71a49b535e21cb&vjs=3,IBM,"$93,000 - $121,000 a year",Full-time,Data-Scientist,"Atlanta, GA 30301 ",93000.0,121000.0,107000.0,Data Scientist,GA,N
38,Data Scientist (Remote),https://www.indeed.com/rc/clk?jk=1bfc37543f33f2ed&fccid=af95ff2f9c48b702&vjs=3,Vail Resorts,"$82,800 - $106,425 a year",Full-time,Data-Scientist,Remote,82800.0,106425.0,94612.5,Data Scientist,Remote,Y
40,Data Scientist,https://www.indeed.com/company/Inclusively/jobs/Data-Scientist-3026a57a76ad0a9c?fccid=ef49cdc7b08c5254&vjs=3,Inclusively,"$140,000 a year",Full-time,Data-Scientist,"New York, NY 10019 ",140000.0,140000.0,140000.0,Data Scientist,NY,N
41,Data Scientist,https://www.indeed.com/rc/clk?jk=db7eb033b49d302a&fccid=c3b8389ba1f05d96&vjs=3,U.S. Army Communications Electronics Command,"$96,808 - $125,851 a year",Full-time,Data-Scientist,"Tobyhanna, PA",96808.0,125851.0,111329.5,Data Scientist,PA,N
42,Data Scientist,https://www.indeed.com/company/Saporis-Engineering-LLC/jobs/Data-Scientist-cad74d0f40aa583f?fccid=651b872b3227d1b8&vjs=3,Saporis Engineering LLC,"$150,000 - $180,000 a year","Full-time
+1",Data-Scientist,"Hybrid remote in New York, NY 10271",150000.0,180000.0,165000.0,Data Scientist,NY,N
43,Data Labeler (Contract),https://www.indeed.com/rc/clk?jk=f74c8671e0220301&fccid=cfbc2963963231b6&vjs=3,EvolutionIQ,$30 an hour,"Full-time
+1",Data-Scientist,"New York, NY",62400.0,62400.0,62400.0,Business Analyst,NY,N
77,Data Scientist,https://www.indeed.com/company/Cognize-tech-solutions/jobs/Data-Scientist-19c0f904e582d0c7?fccid=f4398aa555827ed9&vjs=3,COGNIZE TECH SOLUTIONS,"$65,000 - $80,000 a year","Full-time
+1",Data-Scientist,Remote,65000.0,80000.0,72500.0,Data Scientist,Remote,Y
78,Senior Data Scientist - Enterprise Digital Analytics,https://www.indeed.com/rc/clk?jk=931effa91cddbb42&fccid=be3b11aa573faee7&vjs=3,CVS Health,"$103,500 - $200,000 a year",Full-time,Data-Scientist,"Hybrid remote in New York, NY 10013",103500.0,200000.0,151750.0,Data Scientist,NY,N
80,Materials Data Associate- Receiving - Mount Sinai Hospital - Full Time - Days,https://www.indeed.com/rc/clk?jk=6c3284685c547268&fccid=c007936ceb766fe5&vjs=3,Mount Sinai,$22.87 - $24.13 an hour,Full-time,Data-Scientist,"New York, NY 10029 ",47569.6,50190.4,48880.0,Business Analyst,NY,N
84,Data Scientist,https://www.indeed.com/rc/clk?jk=5683f08ab59579d5&fccid=cadae6c1a84bf6d2&vjs=3,Octaura,"$150,000 - $175,000 a year",Full-time,Data-Scientist,"New York, NY 10001 ",150000.0,175000.0,162500.0,Data Scientist,NY,N
85,Data Scientist-NYC-FTE,https://www.indeed.com/company/THEMESOFT/jobs/Data-Scientist-dd51baa6e5b45d9b?fccid=add00ccb9ea1b563&vjs=3,THEMESOFT,"$70,000 - $100,000 a year",Full-time,Data-Scientist,"Remote in New York, NY",70000.0,100000.0,85000.0,Data Scientist,NY,N
86,Data Analyst I-Transgender Program-Mount Sinai Hospital-Full Time Days,https://www.indeed.com/rc/clk?jk=2862d648259a57d5&fccid=c007936ceb766fe5&vjs=3,Mount Sinai,"$58,661 - $74,250 a year",Full-time,Data-Scientist,"New York, NY 10011 ",58661.0,74250.0,66455.5,Data Analyst,NY,N
87,Data Scientist (Apprentice Conversion),https://www.indeed.com/rc/clk?jk=e38840dc3811c687&fccid=de71a49b535e21cb&vjs=3,IBM,"$90,000 - $169,000 a year",Full-time,Data-Scientist,"Buffalo, NY 14201 ",90000.0,169000.0,129500.0,Data Scientist,NY,N
88,Healthcare Data Analyst,https://www.indeed.com/rc/clk?jk=37cc2c8087b45a89&fccid=9a4203cb5eab1466&vjs=3,Reveleer,"$120,000 - $140,000 a year",Full-time,Data-Scientist,Remote,120000.0,140000.0,130000.0,Data Analyst,Remote,Y
135,Mid-level Data Scientist (Remote),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSYylACSg1DQGEyO4cxxwKRDBdzsQD8Ezqb3xaeFD8w2bUcpHUj6MJLSCuqCkYknUf2W_dAr5oNEG7dgC_px-_8zlZznZWCrhgSUYC6WE5W8NWDtilGzRzRSdDyieCk6N1BKM1dVm_VM8mKnDhJn5SadBvZ8aRrDyUaiIrb6oaPFj8kRQs1ROUtbXELI-8mk6RjMVi10G7LW6gayhlnpc16l56F6CRngaVd6q_sTX5ATRjunzdf5vVNpSQTUboQ-pFy340hafXXUjFvKfmPmKX9j9SYFCvdr2vdobUPJfw2L-JRN4iasVRv4iYlZlpns0XDPIh-ayyQA39kiqZ_tFtMhYArPqXpmGSqWIWzE0PfkL3boymv997-MvC0pMRafOJhJzC9AXbm44ZCu4_1VlicqCJx3clXQMlWDyJM-CFKWRj58EKeApKWToP8nfkPDmAo4ui06nyq-AfTd-a3HL96btZiKPoeFle-CSVscV6blTkBAwUvQv7Ij5D0wnHj4XHDSKZN3yjkYiC36Buq1RWnGqECQqeWqKV_UwBqmd0-jlF4txH_JUylgwdNOIvsvjoqdhK9AYog9-R-8E8bbGQP5vyzSI5X3sP39v3Ec6t2LjBu8Yqpt8CgrAJZH-xhwCUxh3_MseeblFpPdvAyLBQbN6aeQzupH_R6ObUFw_trrlpQcG6_Rx59wea4JWCdh0d5eVm_WWzABHD4Oftx3KD86qL4O0URXo_If1T9hMdjJ2oy9TDs03-PmR-M2QKRbs=&xkcb=SoDj-_M3JkVZGj2YEZ0LbzkdCdPP&p=0&fvj=0&vjs=3,ICF,"$68,325 - $116,152 a year",Full-time,Data-Scientist,"Remote in Reston, VA",68325.0,116152.0,92238.5,Data Scientist,VA,N
138,Data Scientist - III,https://www.indeed.com/rc/clk?jk=24cea3c6b722df47&fccid=b73278f10efdecc4&vjs=3,eTeam Inc.,$70 - $75 an hour,Contract,Data-Scientist,"Remote in Basking Ridge, NJ 07920",145600.0,156000.0,150800.0,Data Scientist,NJ,N
140,"Decision Scientist, Government Analytics",https://www.indeed.com/rc/clk?jk=f9c59ccd147ded3b&fccid=be3b11aa573faee7&vjs=3,CVS Health,"$80,500 - $170,000 a year",Full-time,Data-Scientist,"New York, NY 10013 ",80500.0,170000.0,125250.0,Data Scientist,NY,N
141,Senior Data Scientist,https://www.indeed.com/company/Global-Communications-Group/jobs/Senior-Data-Scientist-a80aaa8ff9525c5a?fccid=9bb30a7488b23639&vjs=3,Global Communications Group,"$141,945 - $151,843 a year",Full-time,Data-Scientist,"Remote in New York, NY",141945.0,151843.0,146894.0,Data Scientist,NY,N
145,Junior Data Scientist,https://www.indeed.com/rc/clk?jk=cb3a9a178940cb6a&fccid=18d58239dbfc6097&vjs=3,Publicis Media,"$70,000 - $105,000 a year",Full-time,Data-Scientist,"New York, NY 10014 ",70000.0,105000.0,87500.0,Data Scientist,NY,N
146,Data Scientist,https://www.indeed.com/company/Udyari-Solutions-LLP/jobs/Data-Scientist-de8ddac8db718684?fccid=c17370c3cd8373da&vjs=3,US Heathcare Product Company,"$130,843 - $140,909 a year",Full-time,Data-Scientist,Remote,130843.0,140909.0,135876.0,Data Scientist,Remote,Y
147,Data scientist,https://www.indeed.com/rc/clk?jk=fe6e382847752143&fccid=f8ae0d540583c551&vjs=3,Ntropy Network,"$130,000 a year",Full-time,Data-Scientist,"Remote in New York, NY",130000.0,130000.0,130000.0,Data Scientist,NY,N
149,Senior Data Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5IatSLh_Ak1q39eQQoPIxD737RW9NeiYGvIRXkrLjEBkC4LI6KweFMaB7igpdWMmoOiobCc2wOXr1NhgmiRez6AQqwfJtzn4Ls-NpbqdGh0aVwyCKoVFC2UxWAQVC4ePprDLkM81N_fepzCVMNoVkxWMcSC5amvG1GJLA7fO6WXKmtvCq8TtDfR3jZg5jHDZdEKs3lSNreGZf0d1NYNwzZx1UvSwBKRSzvUJ5lTtdztbftY3svU0N_OKrVINIFQWseRbt3wlpmRet2FTkvOSm7W9rX9-wtSsLm89osOJI7pvTgaDdnv-zIFSv61gmIUTjaAIMrTnrQJ59dj7d2ZvGVFYXsWWR2THlX6YxcrVmNnTq_d5Yfnwsl_Zy9f6_Y62sYCahDLb3I8odvouqhig7NKrnTDnqFa_zxaGrnQM9hV836gHna6Odi9Bp9uHkUNY7lHqhkMl2RVm-iDLHVnWNt7EWLKZDEzgsXkvv_PgS90-o46V-dQVPufrRpIKD8zTMIVREA7TWfdGcJ3pIVfTBjuvPq8fK9gQR5pRP2ho_uqnv_nl_3N-MX5g9TpSE33tADqhAPjJbD2UvTEI0vJaRllHd-VqI3Np2o0E71oajFRKpm_4M0_ru6vCkK_jqUgGTtxZgwa23XtpjZ73XN5iAqdiIlLqAJsBJEEiFJemLooTuh-DVaNtuIPDBOJZWDzMFgmEpnTIJHg==&xkcb=SoC--_M3JkVZGj2YEZ0FbzkdCdPP&p=14&fvj=0&vjs=3,Kforce,$46.75 - $63.25 an hour,Contract,Data-Scientist,"Towson, MD 21204",97240.0,131560.0,114400.0,Data Analyst,MD,N
210,Data Scientist (Cleared) - Hybrid,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSYylACSg1DQGEyO4cxxwKRDBdzsQD8Ezqb3xaeFD8w2bUcpHUj6MJLSCuqCkYknXyxYCE4dtRLGb_PO0KkXiGrHkoTymt5_piIMt-eTbVJiPJ4_pKuVj3Di89nBsaArTBlD60t82BtQsZQDZu86kYuGE5_2UuRe3IitUsqeJ777y7OQS3qVUTY5H2GH9r96pQ3T-PJfDTvz8HwZKuLmwIr3MsZb5Uj09H9qkp66y8-w3Gq4e_BpluMTsSQm8jY8GnXm93N65HlJ0sRqI2A7RyOWNPUwS1FON5HhXKPPYmQx-Lnse6EwjCQpkRR7vQF5eFgSSvCwt4Nnpx3fHzTYqUz_hIKu1kV3ThHEiWpRPTNACgdR6LlSk08TZ-XitUJzg6FeelYDAEU8WhYODtabTWWoEf-z4kipqV7cFFZM1JvNym8wQ0VvLXIRgl8_-8XGp1xvdFK-0a6jUxoRoy9TtTZ7FmSSCkDoM_C6PgqgVJivPYDLqHtbMJ7nvPgRYjsPp5asswQPoqQUilFKRW4lTwznE5YojOy6SzLtpXKZ143TuziyXpm4Vz0FMyKppf-Aay8D3lgdNj47thsla16_kf8bkYZcfY_LQhWdYOUy2VNjlkjiM6lbZxxoQ7OqWg9vBGBldI98LbgAGTMle0eIYxjrziH6zWtH3wLhkLM_IirNtl0Q4APdc_v7M3VfaaDlZ-ZZeMqVPAuGJ1GIh-eLugAv47QfR5FzhQo0lg2jakfY5wLiXYr-p_th2sn3FzgdvEZwly9uqEJVlLstkvw7QEUk6Q7KbSWSU=&xkcb=SoDI-_M3JkVYsbgNQz0KbzkdCdPP&p=0&fvj=0&vjs=3,ICF,"$77,890 - $132,413 a year",Full-time,Data-Scientist,"Arlington, VA 22209 ",77890.0,132413.0,105151.5,Data Scientist,VA,N
211,Senior Data Scientist,https://www.indeed.com/rc/clk?jk=5116043d8affd0a7&fccid=aa45e6dceb2005ba&vjs=3,Hatch IT,"$125,000 - $185,000 a year",Full-time,Data-Scientist,"New York, NY",125000.0,185000.0,155000.0,Data Scientist,NY,N
212,Data Scientist,https://www.indeed.com/rc/clk?jk=dcec0a3fcd7b817a&fccid=4983b5e32f963a34&vjs=3,Neuberger Berman,"$150,000 - $200,000 a year",Full-time,Data-Scientist,"New York, NY",150000.0,200000.0,175000.0,Data Scientist,NY,N
213,Lead Data Scientist - Care Delivery,https://www.indeed.com/rc/clk?jk=e12ba1eba34a12c3&fccid=be3b11aa573faee7&vjs=3,CVS Health,"$132,250 - $260,000 a year",Full-time,Data-Scientist,"Remote in New York, NY 10013",132250.0,260000.0,196125.0,Data Scientist,NY,N
217,Product Data Scientist,https://www.indeed.com/rc/clk?jk=f8c1da4c76ea3a85&fccid=978d9fd9799d55a8&vjs=3,PayPal,"$72,700 - $176,000 a year",Full-time,Data-Scientist,"New York, NY",72700.0,176000.0,124350.0,Data Scientist,NY,N
221,Staff Applied Scientist I,https://www.indeed.com/rc/clk?jk=e76d648222e3455b&fccid=9ecb91618c39a24f&vjs=3,Etsy,"$196,000 - $230,000 a year",Full-time,Data-Scientist,"Brooklyn, NY 11201",196000.0,230000.0,213000.0,Data Scientist,NY,N
223,Data Scientist (Office/On-site),https://www.indeed.com/rc/clk?jk=a5067b3782b2ee2b&fccid=45b4dbfb45c74c13&vjs=3,State of Connecticut - Department of Public Health,"$102,013 - $132,335 a year",Full-time,Data-Scientist,"Hartford, CT 06106 ",102013.0,132335.0,117174.0,Data Scientist,CT,N
224,"Analyst II, Data Science",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DepOg7TDxGKZPUDK5aMJwXQn2YTYIL3PVVUU2ENsp1lfsN6FS_mRfuWOJKK4U8fyiazc7mgeolzddkgLFhz5v6BOMlcewxsQ6HpsKiIql8RN_vUSY2FmfBQxQ3083ORzM_Dt9c85gZ2-5sMBt0KN-8jnWUmiwg2_ctxxmKzFg98w5dORdv5NMweXXTip2x2dsrTU59Ye8KPNcg4-uUPGL7mOwj6XGRBejAbH1EdWRTLvscdFUeXg7Cr7m0fhIsL0YlQB1GgBj3jvEaHuOj3Ceu1np87LKbVpNWAYJQmwI3zG83KeJPjMeEpN-N37pY_lJsbHIHFcbhso5MpP-yj7WO6xoWbv9oqGVcisyZtiIqIrI5bjoWi2iSa8tbHdbriYKFsKDVb4koCNJrILggeebcmE8Mg3DDi5qAczW5-f6L99aKM07ETagBJfybpNXhelTaPdwEA0VAHhiYzZxtSAGC7yfWxbYIFEz_eKlMIurbQmlOnmJYiQwOKb_Lwn91VtpddXfLtCTWGZxz9o865Kd_9hPRXkVm3CCbbxz5CDtlWdWbn2M7e6KOjXbFTyLWkkJf_iy-kfD5iPnWLaob8TqFWH9ONTWMpaXGKKeCHNuQHLRwqj7LSbfr_pWIQitjApo2CfaokT1s3Og1AgwXZEhwzGVkamzVtldVM6W11rtKULgiPqFaryUwaGhCdtQoANe-7GuzVU2Gk_xp8rekHZuaUCZP3YNXgBzte2hjQH9b4GRXzf6aD7wSew-VCh6mn4zXSpTyUUl79cpbHZ96vDGBaMliuOgwpjUqHEW6aTwyffErWtt9r5ncOQ8LNL0oZOdHsa7L9UuYzuFlv2RCEodyba6ARZlZ6sJLZbrOiwuPu_YJCs2iDQO7gx2RD5-ePk_asMNF04s0vU4KnrKb_o3W67x3DRsiYU5r3iXVhf6Gww==&xkcb=SoCV-_M3JkVYsbgNQz0EbzkdCdPP&p=14&fvj=0&vjs=3,Liberty Mutual,"$101,400 - $171,400 a year",Full-time,Data-Scientist,"Seattle, WA",101400.0,171400.0,136400.0,Data Scientist,WA,N
300,College Graduate - Data Science (BS/MS),https://www.indeed.com/rc/clk?jk=3c21a0e654ace006&fccid=936367796261bd6e&vjs=3,INTEL,"$105,930 - $158,890 a year",Full-time,Data-Scientist,"Santa Clara, CA",105930.0,158890.0,132410.0,Data Scientist,CA,N
301,"Economist / Data Scientist, US Industry",https://www.indeed.com/rc/clk?jk=56b3600e2c367b51&fccid=aa709c86f5e2c58d&vjs=3,Oxford Economics,"$90,000 - $105,000 a year",Full-time,Data-Scientist,"New York, NY",90000.0,105000.0,97500.0,Data Scientist,NY,N
303,Applied AI ML Associate,https://www.indeed.com/rc/clk?jk=45969bcfa3b1dbe4&fccid=c46d0116f6e69eae&vjs=3,JPMorgan Chase & Co,"$128,250 - $195,000 a year",Full-time,Data-Scientist,"New York, NY 10172 ",128250.0,195000.0,161625.0,Business Analyst,NY,N
304,Applied Scientist II,https://www.indeed.com/rc/clk?jk=1db02ba4ee95a2cb&fccid=734cb5a01ee60f80&vjs=3,Microsoft,"$94,300 - $182,600 a year",Full-time,Data-Scientist,"Redmond, WA 98052 ",94300.0,182600.0,138450.0,Data Scientist,WA,N
305,Data Scientist,https://www.indeed.com/company/Access-to-Future-Inc/jobs/Data-Scientist-483b9e15202c1a34?fccid=67a8a0d824df1bb1&vjs=3,Access to Future Inc,$70 - $80 an hour,Contract,Data-Scientist,"Dallas, TX",145600.0,166400.0,156000.0,Data Scientist,TX,N
306,Senior Data Scientist,https://www.indeed.com/rc/clk?jk=9c1f0de19aef607e&fccid=7d7b563c6a3a9653&vjs=3,NYC Careers,"$103,026 - $133,630 a year",Full-time,Data-Scientist,"Manhattan, NY 10004 ",103026.0,133630.0,118328.0,Data Scientist,NY,N
307,Data Science Development Program,https://www.indeed.com/rc/clk?jk=39e4a5b259bdef2e&fccid=28eefc5b86560831&vjs=3,Moody's,"$130,000 a year",Full-time,Data-Scientist,"New York, NY 10007 ",130000.0,130000.0,130000.0,Data Scientist,NY,N
311,Data Scientist,https://www.indeed.com/company/Qubby-Pvt.-Ltd./jobs/Data-Scientist-5895674e0d9e6158?fccid=4786de815cf617f4&vjs=3,Artint Knowledge Tech,$50 - $55 an hour,"Part-time
+1",Data-Scientist,Remote,104000.0,114400.0,109200.0,Data Scientist,Remote,Y
312,Data Scientist,https://www.indeed.com/company/IStream-Solutions/jobs/Data-Scientist-382b78faa8215ef2?fccid=6a07408b0c66aef2&vjs=3,IStream Solutions,"$107,108 - $110,990 a year","Full-time
+1",Data-Scientist,Remote,107108.0,110990.0,109049.0,Data Scientist,Remote,Y
314,Statistical Assistant,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B-9NG1ika--Oy0wAe-xrPvOpnRI2wBVKtJ7ACIdl8IsJk0n5TcfTIxSDdglY_AdKnI0zB8ZMhaYuNYOigxYanlxQah1fBV9XyVI7Dz52esdHSqhvIYmLAnoSAr1KgHGdGqp5t9hsvmF72l3bTc6D2Rgj0CvFRuaefcFTR7GnTtkLMGUdijm8I4kUFXXKHWLqz85aj6BcHFOZHrqtDwShgmV_iBuCgbbx67kHFBll3gE8IzLPOcIoNdozT4kJiTQZfBzTIYntY0eMo9Cu_d-qu_008o-kfWpyZLWKzkZJIInS-us3HmlFa8NaEJRhXlUE4HxRCAiFjuWAWHAWlpgk-_XHIOFL4LYXszlnZGXOH-XnS6PGXngZXVHWahEoL_LEEoCddmZlXE_J2EjVX_i-YZ29IAIMIcDyn-rz7WbApSIgH8GHezH2cR1R5UPNa4uUZ6YhPlJM7Ij6oWPDCaoFYXA-xMm5J9LzqK7jwOq8NdKDqcTiLoehZ1hTNYuBNMx1SgJdgHln0SpDT-FFepJz7nCGmfDncu41BXm_5FoOrQiKq9uEJuau8zfWRL5CSPB4fcRO-nNK5M3wlZaXW_-I6JKCp1IR471J7a8teSRY29kjElF6Lzfm9V-Sz-XPVouQn1txvnfIGoWXrArTFq__BIl2FADBoLFzspFGFFmKve7WbR2dBWG1mZsDNq35GvGlt6KyMsCCcvVzEuVBWJ9RqTEcWZDbmlyJsklOWA9W5C7Nv4pOottI7l1nPtDz9X02vv-S96ouOZvptiNRe6Aw7ZpP7FW2HQDXbJ9eFRreLyX6jFEfckj34G37tMUcq0Nv2LRl1mA0gOXLogZ6ZJ9spPYFNCGPC2GdyvViqseQOB8Ggt0Hd_Qw7667PhovAJNu16hq0SXzv3D6ad_zBlGSRx-A9dKgX1BFVgy6MxidPdhbNnEpxxRO0FEhK1LGfmATq-F1NLryqk7B_vYLDgwcMW11a1Q5KpAe7-kQdYCAhfBrYr4Ak_YQfH8MCbcLiVOxjZtzSWCgvxd3XuMelg5lg0ZpdrY7j_zqYQuuVnM5jj0nhYw1JuGwtHQqe5dokTUp5JiBqPT14OeubvAgeth15eUqWxzRscJ6U2Te5rWD-XMg==&xkcb=SoCo-_M3JkVXQ3WbRx0EbzkdCdPP&p=14&fvj=0&vjs=3,New Wave People,$20 - $25 an hour,Contract,Data-Scientist,"New York, NY 10004 ",41600.0,52000.0,46800.0,Business Analyst,NY,N
405,"Developer, Big Data/No SQL",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDp_epf89aHDQhKpPegNJQ_ldQpEFZQsM9OcONMGxWx6AdRWAS3kzS9ZFoNeL_9CRMY9phc-Q2aEF-MnxE6c0Rq_y--WKjFOXP_4YwlCo-Ab6Vfjf46HzrporXW4yCnZ7AAYP2VqNaOfB1JYnkOsxD8OErVaptBd1nsCDVknyc-gSVZM3eAH-d-7qecUJJ2BNZOcSsZDQ3PaqZF71My_BQryTZ_XEtfB_pPFXx398cOwL4IN5slZa4KrAKxLudbz3aCJ1s4ngOR92lOTmOUOcJwN66XPr53ZWrJXAbBDnE4vKy-veTK7N9mUHDLCxnLzwDXwo8neFOf_57SaYJ-JR6-6YCAR1jNdZfz2w9hareWJZCcFYjkF5vDKlferksE06yI2Fl6qKnOB9g_eGIQmtcELvWtIF3_k2Q6PSH-uFoVfCGXDNAm3M90NTtSNuhopgolSZyn91CcvISWXD7l7wEfpYgzshEMxCmj9F7Vq51e1pdqWz27C1A5lvvoCx4JdOviD68m5bU5IiZgpHWB9u9XOslmHk-hLH87nxkBiiLxkeOIPSP18fMhOk7AFo3zzHH3exCm3UQLHjyqjbGQeM256hCP8gapd8cQk0h2nEq66DEP-3bT3KN6wSU32m5u-SP5nXp0bkOxgNFD6-wm7HFFFlSclv_lWKsxbXQMb3vEVbD--1tQSa2pAn1iMBeVNU5mUtzb9PgJhVT6OeUUq2rE20h_sQxgE1XNmI062uKEHIAviCCAbID8W43risaD_3BCLzocZobfMWSMXYDcu2dnW8KwXWzOkqo-xPBpLctD4ukD8lsqxVeJIaORnDlCcSSqii7SaqoetzYp4FeZelazLKwWmLSMsWapiaRpqXTwQ==&xkcb=SoCd-_M3JkVW8WA1FL1vbzkdCdPP&p=0&fvj=0&vjs=3,The Mom Project,$104 - $110 an hour,Full-time,Data-Scientist,"New York, NY",216320.0,228800.0,222560.0,Business Analyst,NY,N
406,Data Scientist (Cleared) - Hybrid,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSYylACSg1DQGEyO4cxxwKRDBdzsQD8Ezqb3xaeFD8w2bUcpHUj6MJLSCuqCkYknXyxYCE4dtRLGb_PO0KkXiGrHkoTymt5_piIMt-eTbVJiPJ4_pKuVj3Di89nBsaArTBlD60t82BtQsZQDZu86kYuGE5_2UuRe3IitUsqeJ777y7OQS3qVUTY5H2GH9r96pDAgLGkNByPW7aBmGX-5HV13FwynoOZ2Fv4YLLmWhO5oiE0p9rKUa8NKMi_II9EVU_Zdx1bL-H8Rry8kcHlTcb05aYhHNmSDuu1Vms5GTrROwFc7KYA0dJMHi3yw7W8JgT_G3kjbQQs-3KxCx6NLnX5K1V1NQAsA-lrfyQb5lVuPyHs0Jgncwqrb9xYBubEFFiiQrjUoK4Ls_RJR5-EkXsxJmUL2o377Cm2q7WGrJIEnVhAIiRjAu3-tHxrY5ozKSYLg5lVPNxkirKFL-wuLZP-HYxvh25-3w2sANTgo5ZJgqjrCZeTaecyd2JURDkli73exw3HW8RhDqnv_5Ao4HYIVOgY6QN7z9sQzVMWBaxYadWqtCiyZhwmIhsAYXuwbmSWaMCsjDuuVwu5xzgV_NArnKDbcZPBUeK3Cep8Z9SBsL3sSTPJN9Zt1ejgDrOP5bAkgJ-yDkMgScJtgEaDXi1FwKmRMpCOxxrpVlxk5-09griYfm9V2sAVJSaCcKyuEDShqWd_wUQEn6pUmJcntpwrkPolPo1exYe2_Vfx1n4l_6ElimD4rmxZ4FdCW9j7De4JGLjdp1GM9-0NMjuO8ezJ6VWFYWSsDY=&xkcb=SoAp-_M3JkVW8WA1FL1ubzkdCdPP&p=1&fvj=0&vjs=3,ICF,"$77,890 - $132,413 a year",Full-time,Data-Scientist,"Arlington, VA 22209 ",77890.0,132413.0,105151.5,Data Scientist,VA,N
407,Data Scientist,https://www.indeed.com/rc/clk?jk=c5ef21af5ba0d890&fccid=e8f18ca6180ec8da&vjs=3,National Security Agency,"$81,233 - $183,500 a year",Full-time,Data-Scientist,"Fort Meade, MD",81233.0,183500.0,132366.5,Data Scientist,MD,N
409,Data Scientist,https://www.indeed.com/company/AppsIntegration.Inc/jobs/Data-Scientist-17173e45d29b2a29?fccid=32a476af306e5e6b&vjs=3,AppsIntegration.Inc,"$60,876 - $106,280 a year",Contract,Data-Scientist,Remote,60876.0,106280.0,83578.0,Data Scientist,Remote,Y
415,Senior Data Analyst,https://www.indeed.com/rc/clk?jk=924464d65669dbdb&fccid=c635e1e0743603aa&vjs=3,Zipongo,"$120,000 - $180,000 a year",Full-time,Data-Scientist,Remote,120000.0,180000.0,150000.0,Data Analyst,Remote,Y
417,Data Scientist,https://www.indeed.com/rc/clk?jk=41f3119f8077f6ce&fccid=dd616958bd9ddc12&vjs=3,US Board of Veterans' Appeals,"$115,015 - $145,617 a year",Full-time,Data-Scientist,"Remote in Washington, DC 20001",115015.0,145617.0,130316.0,Data Scientist,DC,N
525,Data Scientist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D54-4lvN4MbGSrnJofeUamWKLLgEBO_tp8_vrY9hHPouyF8N0bHUfLE4EnkKdB3LtrIaZgDx90VgieTwsxWd2MnCbXLp45GfsAH7xJ6a5w_5d5-Xssv7brWSwaZiFRxYyj54PwVS-as59YDCHNernlaf9BbqppQuuC1gU9tsfmpo8SzQX_tHKp7M-wf7Q8w0I0csrhzajNYS3qo4Ub-oRXGPrijJlynFSz-9SZ-diw-cJZCDR3cOmN2NIqY_XjQ-GCbfJMdb32cXHk8KYu3B-A2-0KIRv2wKV6x4AxotnfWBUZlgZcUzUDkOMZiemi54qxOOysOE_0YDivnBBQ4OFRWrJ2Su_Qx2T6fsg6Xhf22aBFKwE89bBsnQTxYAOllfudR_RZe-LaayXGKv-VhRsz-vWcw-K5vE7L4NTralWjdlSzOzjdUu_0NQk0BbDd_LicqcA23VzPaD207RkBF9GFWy2IFl3jiWs5WmyG_-yqEPzqGUfOAa0h7RpfIl9eKvOy01W7cfOzUZvH_UBhCoRzaJUmXDMtC_5gdOKSSDC_7YEX9VFxaVWozkXsZtRRoRqvjjiOiw2c-R7h8kY8DzIm&xkcb=SoDP-_M3JkVWYEA1FL0LbzkdCdPP&p=0&fvj=1&vjs=3,EpochGeo,"$130,000 - $175,000 a year",Full-time,Data-Scientist,"Reston, VA 20191 ",130000.0,175000.0,152500.0,Data Scientist,VA,N
