Source,Year,State,State_Notes,Value _millions_prelim_2022,State_Rank_prelim_2022,State_percent_total_prelim,Principal_commodities
MCS2023,2022_estimated,Texas,,8030,3,8.17,"Cement (masonry and portland), lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2023,2022_estimated,Utah,,3600,8,3.66,"Copper, gold, potash, salt, sand and gravel (construction)."
MCS2023,2022_estimated,Vermont,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed."" State rank is based on total, unadjusted, State values.",136,46,0.14,"Sand and gravel (construction), stone (crushed), stone (dimension), talc (crude)."
MCS2023,2022_estimated,Virginia,,1530,22,1.56,"Cement (masonry and portland), kyanite, lime, sand and gravel (construction), stone (crushed)."
MCS2023,2022_estimated,Washington,,901,32,0.92,"Cement (portland), diatomite, sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2023,2022_estimated,West Virginia,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed."" State rank is based on total, unadjusted, State values.",204,40,0.21,"Cement (masonry and portland), lime, salt, aand and gravel (industrial), stone (crushed)."
MCS2023,2022_estimated,Wisconsin,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed."" State rank is based on total, unadjusted, State values.",1720,20,1.75,"Lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed), stone (dimension)."
MCS2023,2022_estimated,Wyoming,,2480,11,2.53,"Cement (masonry and portland), clay (bentonite and common clay), helium (Grade-A), sand and gravel (construction), soda ash."
MCS2023,2022_estimated,Undistributed,,4210,XX,4.29,XX
MCS2023,2022_estimated,Total,,98200,XX,100,"Cement (masonry and portland), copper, gold, sand and gravel (construction), stone (crushed)."
